sample_ID,country,plot,field_pair,carbon_intensity,treatment,pH,WC,VWC,total.N,total.C,organic.C,inorganic.C,PO4_P,total.P,soil_respiration,Nmin,total_sand,total_silt,total_clay,WHC,BD,root.DW,crop.biomass,plant.height,reduction
DE1_T2,DE,1,1,H,C,8.18,20.19,18.98,0.25,2.53,2.25,0.29,0.002,0.9,1.5,9.65,14.63,50.28,35.09,32.3,0.94,435.67,11.4,96.5,0.625077399
DE2_T2,DE,2,1,H,R,8.09,15.32,14.25,0.26,2.68,2.34,0.34,0.002,1.04,1.18,6.02,14.63,50.28,35.09,33.55,0.93,457.32,14.1,94.25,0.456631893
DE3_T2,DE,3,1,H,RC,8.14,19.24,19.05,0.25,2.62,2.32,0.3,0.002,0.89,1.35,10.26,14.63,50.28,35.09,35.57,0.99,323.57,13.3,96.5,0.540905257
DE4_T2,DE,4,1,L,C,7.96,13.48,12.67,0.13,1.36,1.28,0.09,0.004,0.9,0.77,21.79,34.04,45.02,20.95,39.55,0.94,377.07,14,104.75,0.340834387
DE5_T2,DE,5,1,L,R,8.04,9.3,9.77,0.14,1.37,1.28,0.09,0.003,0.79,0.54,62.41,34.04,45.02,20.95,36.83,1.05,326.11,15.2,86.25,0.25251154
DE6_T2,DE,6,1,L,RC,7.96,14.96,14.36,0.14,1.43,1.31,0.12,0.004,0.86,0.73,29.51,34.04,45.02,20.95,37.32,0.96,252.23,11.9,85,0.400857449
DE7_T2,DE,7,2,H,C,8.36,16.39,15.73,0.23,3.51,2.1,1.41,0.001,0.84,1.84,10.02,13.55,55.69,30.76,35.36,0.96,371.97,8.1,101.75,0.4635181
DE8_T2,DE,8,2,H,R,8.32,12.14,12.38,0.23,3.77,2.11,1.66,0.001,0.75,1.36,8.14,13.55,55.69,30.76,34.14,1.02,224.2,7.6,88.75,0.35559461
DE9_T2,DE,9,2,H,RC,8.38,17.59,15.66,0.23,3.63,1.93,1.7,0.001,0.77,1.57,9.36,13.55,55.69,30.76,37.1,0.89,323.57,5.5,95,0.474123989
DE10_T2,DE,10,2,L,C,8.22,15.01,15.61,0.2,4.07,1.87,2.2,0.001,1,1.5,8.04,11.98,52.81,35.21,34.45,1.04,249.68,8.7,59.5,0.435703919
DE11_T2,DE,11,2,L,R,8.31,10.78,11.32,0.19,5.19,1.94,3.26,0.001,1.02,1.21,6.63,11.98,52.81,35.21,32.76,1.05,335.03,9.3,76.5,0.329059829
DE12_T2,DE,12,2,L,RC,8.22,17.23,16.71,0.21,3.57,2.24,1.33,0.001,0.94,1.74,6.37,11.98,52.81,35.21,35.75,0.97,166.88,5.6,59.25,0.481958042
DE13_T2,DE,13,3,H,C,7.64,18.88,20.39,0.16,1.6,1.55,0.05,0.001,0.78,0.89,6.94,22.11,53.07,24.82,37.51,1.08,298.09,7.9,87,0.503332445
DE14_T2,DE,14,3,H,R,7.15,12.43,13.67,0.16,1.54,1.48,0.06,0.001,0.78,0.67,5.15,22.11,53.07,24.82,42.66,1.1,219.11,9,80.5,0.291373652
DE15_T2,DE,15,3,H,RC,7.75,17.85,19.28,0.16,1.56,1.5,0.06,0.001,0.8,0.83,9.11,22.11,53.07,24.82,35.1,1.08,434.39,7.5,81,0.508547009
DE16_T2,DE,16,3,L,C,7.23,18.52,20.56,0.15,1.49,1.44,0.05,0.001,0.85,0.94,4.5,17.9,56.69,25.41,26.99,1.11,639.49,11.5,94.25,0.686180067
DE17_T2,DE,17,3,L,R,7.25,13.67,15.58,0.16,1.62,1.58,0.05,0.002,0.89,0.8,10.69,17.9,56.69,25.41,29.71,1.14,322.29,11.9,80.25,0.46011444
DE18_T2,DE,18,3,L,RC,7.26,17.85,18.39,0.16,1.55,1.51,0.05,0.001,0.88,0.86,6.89,17.9,56.69,25.41,28.23,1.03,240.76,8,85.75,0.632306057
DE19_T2,DE,19,4,H,C,8.23,15.54,15.85,0.17,2.26,1.5,0.77,0.001,0.9,1.51,10.36,18.87,57.23,23.9,43.01,1.02,272.61,9.8,83.25,0.361311323
DE20_T2,DE,20,4,H,R,8.17,11.17,11.17,0.18,2.36,1.52,0.84,0.001,0.89,1.05,7.28,18.87,57.23,23.9,39.24,1,208.92,13,91.75,0.284658512
DE21_T2,DE,21,4,H,RC,8.13,15.48,15.94,0.17,2.55,1.5,1.06,0.002,0.9,1.15,9.32,18.87,57.23,23.9,39.65,1.03,278.98,12,85.75,0.390416141
DE22_T2,DE,22,4,L,C,8.08,13.74,12.5,0.17,1.62,1.47,0.15,0.002,0.87,0.9,4.29,33.26,41.46,25.29,33.3,0.91,507.01,10.1,72.25,0.412612613
DE23_T2,DE,23,4,L,R,8.08,10.2,9.89,0.16,1.52,1.38,0.14,0.002,0.78,0.6,7.17,33.26,41.46,25.29,36.35,0.97,307.01,10.5,58.25,0.280605227
DE24_T2,DE,24,4,L,RC,8.01,14.59,13.28,0.17,1.72,1.5,0.22,0.002,0.8,1,6.38,33.26,41.46,25.29,32.14,0.91,419.11,14.1,81.75,0.453951462
