country,field_pair,carbon_intensity,treatment,WC,BD,VWC,WHC ,reduction,SOC
SE,1,H,C,8.41,1.43,12.03,29.11,0.29,1.96
SE,1,H,R,7.51,1.43,10.74,29.11,0.26,2.24
SE,1,H,RC,5.83,1.43,8.34,29.11,0.2,2.03
SE,1,L,C,7.14,1.46,10.42,21.13,0.34,1.4
SE,1,L,R,5.03,1.46,7.34,21.13,0.24,1.45
SE,1,L,RC,6.5,1.46,9.49,21.13,0.31,1.46
SE,2,H,C,11.09,1.35,14.97,33.09,0.34,2.33
SE,2,H,R,6.33,1.35,8.55,33.09,0.19,2.16
SE,2,H,RC,7.28,1.35,9.83,33.09,0.22,2.3
SE,2,L,C,8.83,1.31,11.57,34.67,0.25,1.71
SE,2,L,R,4.94,1.31,6.47,34.67,0.14,1.72
SE,2,L,RC,6.35,1.31,8.32,34.67,0.18,1.82
SE,3,H,C,9.59,1.35,12.95,33.68,0.28,2.52
SE,3,H,R,10.58,1.35,14.28,33.68,0.31,4.22
SE,3,H,RC,10.79,1.35,14.57,33.68,0.32,3.46
SE,3,L,C,8.13,1.62,13.17,22.69,0.36,1.39
SE,3,L,R,5.78,1.62,9.36,22.69,0.25,1.45
SE,3,L,RC,6.68,1.62,10.82,22.69,0.29,1.4
SE,4,H,C,12.01,1.2,14.41,39.79,0.3,2.58
SE,4,H,R,6.34,1.2,7.61,39.79,0.16,2.6
SE,4,H,RC,7.88,1.2,9.46,39.79,0.2,2.55
SE,4,L,C,11.64,1.21,14.08,36.74,0.32,2.02
SE,4,L,R,5.77,1.21,6.98,36.74,0.16,2.03
SE,4,L,RC,8.06,1.21,9.75,36.74,0.22,1.84
SE,5,H,C,10.59,1.29,13.66,37.87,0.28,2.11
SE,5,H,R,10.24,1.29,13.21,37.87,0.27,2.03
SE,5,H,RC,12.04,1.29,15.53,37.87,0.32,1.71
SE,5,L,C,6.14,1.2,7.37,38.91,0.16,1.32
SE,5,L,R,5.17,1.2,6.2,38.91,0.13,1.34
SE,5,L,RC,5.52,1.2,6.62,38.91,0.14,1.45
DE,1,H,C,20.19,0.94,18.98,32.3,0.63,2.25
DE,1,H,R,15.32,0.93,14.25,33.55,0.46,2.34
DE,1,H,RC,19.24,0.99,19.05,35.57,0.54,2.32
DE,1,L,C,13.48,0.94,12.67,39.55,0.34,1.28
DE,1,L,R,9.3,1.05,9.77,36.83,0.25,1.28
DE,1,L,RC,14.96,0.96,14.36,37.32,0.4,1.31
DE,2,H,C,16.39,0.96,15.73,35.36,0.46,2.1
DE,2,H,R,12.14,1.02,12.38,34.14,0.36,2.11
DE,2,H,RC,17.59,0.89,15.66,37.1,0.47,1.93
DE,2,L,C,15.01,1.04,15.61,34.45,0.44,1.87
DE,2,L,R,10.78,1.05,11.32,32.76,0.33,1.94
DE,2,L,RC,17.23,0.97,16.71,35.75,0.48,2.24
DE,3,H,C,18.88,1.08,20.39,37.51,0.5,1.55
DE,3,H,R,12.43,1.1,13.67,42.66,0.29,1.48
DE,3,H,RC,17.85,1.08,19.28,35.1,0.51,1.5
DE,3,L,C,18.52,1.11,20.56,26.99,0.69,1.44
DE,3,L,R,13.67,1.14,15.58,29.71,0.46,1.58
DE,3,L,RC,17.85,1.03,18.39,28.23,0.63,1.51
